text, url 순
클라우드 서버 기반 GNSS 상시계측 시스템 WEB 개발, /pj/423
수집 데이터 특성에 따른 클라우드 네이티브 기반 데이터 플랫폼 자가 구성(Self-configurable) 기술, /pj/460
블록체인과 AI,빅데이터를 활용한  안심인증 중고거래 플랫폼 서비스, /pj/418
심리 상담 AI 챗봇, /pj/416
제조상에서의 유해화학물질 저감을 위한 안전 모니터링 솔루션 개발, /pj/451
빅데이터 기반 이미지 편집 온라인 솔루션(HTML5), /pj/414
개인 PC 보안 진단 프로그램 개발, /pj/431
심리 상담 AI 챗봇, /pj/475
AI기반 카카오톡의 다양한 이벤트를 블루투스 제품을 통해 TTS 음성으로 안내하는 IOT 앱개발, /pj/412
AR 기반의 도서관 내비게이션 프로그램 개발, /pj/426
약물 지식 데이터베이스 구축 및 의약품 식별 알고리즘 개발, /pj/462
MLOps 기반 골프 자세 분석 파이프라인 최적화, /pj/483
머신 러닝을 통한 음성 데이터 개체명 식별, /pj/454
ffmpeg과 YOLO를 이용한 동영상내 객체 탐지 자동화 솔루션 개발, /pj/479
멀티클라우드 전환 솔루션 / 서비스, /pj/434
모두의 복지 챗봇, /pj/415
대량의 파일 검색 및 백업/복구를 지원하는 파일 관리 프로그램 개발, /pj/448
독거노인 맞춤형 스마트 케어 서비스 개발, /pj/465
UiPath RPA 기술 이용한 기업형 업무도구 개발, /pj/443
IoT sensor data 수집을 통한 edge computing 기술 구현, /pj/425
머신러닝 기반 NLU기법과 크롤러를 활용한 챗봇, /pj/484
[K8s] 쿠버네티스 인프라 가시화, /pj/420
빅데이터 자동 탐색(Automated Data Discovery)과 머신러닝을 통한 사용자 비개입 데이터 시각화 기술 (장기), /pj/458
비대면 환경에서의 효과적인 교육 및 비지니스를 위한 개인 맞춤형 융합 콘텐츠 생성 기반 기술, /pj/482
AI 컨택센터 솔루션, /pj/437
NLP 감정분석을 통한 마케팅 시장분석, /pj/480
비대면 환경에서의 효과적인 교육 및 비지니스를 위한 개인 맞춤형 융합 콘텐츠 생성 기반 기술, /pj/435
홀로렌즈를 활용한 MR기반 솔루션 개발, /pj/453
오픈소스 기반 “ELK” Tool을 연계 전력 Saving 시각화 모니터링 서비스 개발, /pj/478
딥러닝-CNN 을 활용한 상품 검색 및 상품 정보 Tagging 시스템 구축, /pj/433
NLP 감정분석을 통한 마케팅 시장분석, /pj/446
빅데이터 기반 댓글 분석 및 시각화 서비스, /pj/466
ffmpeg과 YOLO를 이용한 동영상내 객체 탐지 자동화 솔루션 개발, /pj/410
레이더센서와 열감지센서를 활용한 IoT플랫폼 연계 열감지 서비스 구축, /pj/464
